logo_url,name,hall,stand,category_icon_url,country
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10819/thumb_2008_10819_10698_1927.png/fit-in/300x300,GURME212,Shk Saeed Hall 3,S3-B65,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Türkiye
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/12275/thumb_2008_12275_12154_8973.png/fit-in/300x300,"Gusania, JSC",Trade Centre Arena,S-L70,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Lithuania
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10818/thumb_2008_10818_10697_2962.png/fit-in/300x300,Gustav Heess Oleochemische Erzeugnisse GmbH,Shk Saeed Hall 2,S2-H57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Germany
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/9434/thumb_2008_9434_9314_3320.png/fit-in/300x300,Gustibus Alimentari S.r.l.,Shk Saeed Hall 1,S1-D70,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Italy
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/10731/thumb_2008_10731_10610_1710.png/fit-in/300x300,H R M Trading LLC,Za'abeel Plaza,ZP-A6,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,United Arab Emirates
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11498/thumb_2008_11498_11377_7445.png/fit-in/300x300,Ha Li Fa Pte Ltd,Shk Rashid Hall,R-I24,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Singapore
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8683/thumb_2008_8683_8563_5940.png/fit-in/300x300,Haage Natural Mineral water,Trade Centre Arena,S-H57,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Estonia
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/8119/thumb_2008_8119_7999_4505.png/fit-in/300x300,Habibo Dairy,Al Mustaqbal Plaza,MP-F28,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Madagascar
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/13021/thumb_2008_13021_12900_7129.png/fit-in/300x300,Habiganj Agro Limited,Za'abeel Hall 4,Z4-C5,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/pulsesgrainscereals.png,Bangladesh
https://d1l8km4g5s76x5.cloudfront.net/Production/exb_doc/2008/11639/thumb_2008_11639_11518_6105.png/fit-in/300x300,Haboba Family (Rehana),Shk Maktoum Hall,M-E35,https://cdn.asp.events/CLIENT_Dubai_Wo_4B15F265_5056_B739_54F3125D47F0BC95/sites/gulfood-2024/media/2021icons/worldfood.png,Egypt
